año_registro,provincia_incidente,canton_incidente,delito,tipo_delito
2023,CARCHI,ESPEJO,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,GUAYAS,DURAN,EXTORSIÓN,CONSUMADO
2023,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,EXTORSIÓN,CONSUMADO
2023,ZAMORA CHINCHIPE,YANTZAZA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,PICHINCHA,QUITO,EXTORSIÓN,CONSUMADO
2023,ESMERALDAS,ATACAMES,SECUESTRO EXTORSIVO,CONSUMADO
2023,GUAYAS,GUAYAQUIL,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,LOS RIOS,QUEVEDO,EXTORSIÓN,CONSUMADO
2023,CANAR,CANAR,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,ESMERALDAS,ELOY ALFARO,EXTORSIÓN,CONSUMADO
2023,BOLIVAR,GUARANDA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,SANTA ELENA,LA LIBERTAD,EXTORSIÓN,CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,GUAYAS,SAN JACINTO DE YAGUACHI,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,EL ORO,MACHALA,EXTORSIÓN,CONSUMADO
2023,AZUAY,CUENCA,EXTORSIÓN,CONSUMADO
2023,EL ORO,SANTA ROSA,EXTORSIÓN,CONSUMADO
2023,GUAYAS,DURAN,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,GUAYAS,DURAN,EXTORSIÓN,CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,GUAYAS,DURAN,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,AZUAY,CUENCA,EXTORSIÓN,CONSUMADO
2023,BOLIVAR,ECHANDíA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,EL ORO,MACHALA,EXTORSIÓN,CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,TENTATIVA
2023,EL ORO,SANTA ROSA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,GUAYAS,GUAYAQUIL,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,EL ORO,PASAJE,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,EL ORO,HUAQUILLAS,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,GUAYAS,DURAN,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,TUNGURAHUA,QUERO,EXTORSIÓN,CONSUMADO
2023,SANTA ELENA,LA LIBERTAD,EXTORSIÓN,CONSUMADO
2023,SANTA ELENA,SANTA ELENA,EXTORSIÓN,CONSUMADO
2023,ESMERALDAS,ATACAMES,EXTORSIÓN,TENTATIVA
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,CANAR,LA TRONCAL,EXTORSIÓN,CONSUMADO
2023,GUAYAS,GUAYAQUIL,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,EL ORO,HUAQUILLAS,SECUESTRO EXTORSIVO,CONSUMADO
2023,GUAYAS,GUAYAQUIL,SECUESTRO EXTORSIVO,CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,TENTATIVA
2023,IMBABURA,IBARRA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,GUAYAS,SAN JACINTO DE YAGUACHI,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,IMBABURA,OTAVALO,TRATA DE PERSONAS,CONSUMADO
2023,EL ORO,MACHALA,EXTORSIÓN,CONSUMADO
2023,GUAYAS,DAULE,EXTORSIÓN,TENTATIVA
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,PICHINCHA,QUITO,EXTORSIÓN,CONSUMADO
2023,CANAR,AZOGUES,EXTORSIÓN,CONSUMADO
2023,ESMERALDAS,ESMERALDAS,EXTORSIÓN,CONSUMADO
2023,LOJA,LOJA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,TENTATIVA
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,LOJA,LOJA,EXTORSIÓN,CONSUMADO
2023,AZUAY,CUENCA,EXTORSIÓN,CONSUMADO
2023,AZUAY,CAMILO PONCE ENRIQUEZ,EXTORSIÓN,CONSUMADO
2023,CANAR,LA TRONCAL,EXTORSIÓN,CONSUMADO
2023,GUAYAS,GUAYAQUIL,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,GUAYAS,GUAYAQUIL,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,SANTA ELENA,SALINAS,EXTORSIÓN,CONSUMADO
2023,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,EXTORSIÓN,CONSUMADO
2023,SANTO DOMINGO DE LOS TSACHILAS,LA CONCORDIA,SUSTRACCIÓN DE HIDROCARBUROS,TENTATIVA
2023,CANAR,LA TRONCAL,EXTORSIÓN,CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,GUAYAS,NARANJAL,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,EL ORO,PASAJE,EXTORSIÓN,TENTATIVA
2023,IMBABURA,ANTONIO ANTE,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,SANTA ELENA,SALINAS,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,EXTORSIÓN,CONSUMADO
2023,SANTA ELENA,SANTA ELENA,EXTORSIÓN,CONSUMADO
2023,PICHINCHA,QUITO,EXTORSIÓN,CONSUMADO
2023,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,SANTA ELENA,SANTA ELENA,EXTORSIÓN,CONSUMADO
2023,PICHINCHA,QUITO,EXTORSIÓN,CONSUMADO
2023,SANTA ELENA,SANTA ELENA,EXTORSIÓN,CONSUMADO
2023,PASTAZA,SANTA CLARA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,MANABI,CHONE,EXTORSIÓN,CONSUMADO
2023,PICHINCHA,QUITO,EXTORSIÓN,CONSUMADO
2023,CANAR,LA TRONCAL,EXTORSIÓN,CONSUMADO
2023,GUAYAS,GUAYAQUIL,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,PICHINCHA,QUITO,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,TUNGURAHUA,SAN PEDRO DE PELILEO,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,EL ORO,PASAJE,EXTORSIÓN,CONSUMADO
2023,IMBABURA,IBARRA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,PICHINCHA,MEJIA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,EXTORSIÓN,CONSUMADO
2023,LOS RIOS,QUEVEDO,EXTORSIÓN,CONSUMADO
2023,PICHINCHA,MEJIA,EXTORSIÓN,CONSUMADO
2023,MANABI,PORTOVIEJO,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,COTOPAXI,LATACUNGA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,ESMERALDAS,ESMERALDAS,EXTORSIÓN,CONSUMADO
2023,GUAYAS,DURAN,EXTORSIÓN,CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,GUAYAS,DAULE,EXTORSIÓN,CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,LOS RIOS,QUEVEDO,EXTORSIÓN,CONSUMADO
2023,CANAR,LA TRONCAL,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,PICHINCHA,MEJIA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,PICHINCHA,RUMINAHUI,EXTORSIÓN,CONSUMADO
2023,GUAYAS,BALZAR,EXTORSIÓN,CONSUMADO
2023,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,EXTORSIÓN,CONSUMADO
2023,GUAYAS,MILAGRO,EXTORSIÓN,CONSUMADO
2023,LOS RIOS,MOCACHE,EXTORSIÓN,CONSUMADO
2023,ZAMORA CHINCHIPE,CHINCHIPE,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,CANAR,LA TRONCAL,EXTORSIÓN,CONSUMADO
2023,MANABI,PORTOVIEJO,EXTORSIÓN,CONSUMADO
2023,CHIMBORAZO,RIOBAMBA,EXTORSIÓN,CONSUMADO
2023,PICHINCHA,QUITO,EXTORSIÓN,CONSUMADO
2023,CANAR,LA TRONCAL,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,GUAYAS,PLAYAS,EXTORSIÓN,CONSUMADO
2023,GUAYAS,EL EMPALME,EXTORSIÓN,CONSUMADO
2023,PICHINCHA,QUITO,EXTORSIÓN,CONSUMADO
2023,ESMERALDAS,ESMERALDAS,EXTORSIÓN,CONSUMADO
2023,PICHINCHA,QUITO,EXTORSIÓN,CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,GUAYAS,PLAYAS,EXTORSIÓN,CONSUMADO
2023,GUAYAS,EL TRIUNFO,EXTORSIÓN,CONSUMADO
2023,NAPO,TENA,EXTORSIÓN,CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,CANAR,LA TRONCAL,EXTORSIÓN,CONSUMADO
2023,EL ORO,SANTA ROSA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,EL ORO,MACHALA,EXTORSIÓN,CONSUMADO
2023,CANAR,LA TRONCAL,EXTORSIÓN,CONSUMADO
2023,EL ORO,MACHALA,EXTORSIÓN,CONSUMADO
2023,PICHINCHA,QUITO,EXTORSIÓN,CONSUMADO
2023,LOS RIOS,QUEVEDO,EXTORSIÓN,CONSUMADO
2023,EL ORO,MACHALA,EXTORSIÓN,CONSUMADO
2023,MANABI,PORTOVIEJO,EXTORSIÓN,CONSUMADO
2023,CHIMBORAZO,RIOBAMBA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,EXTORSIÓN,CONSUMADO
2023,ESMERALDAS,QUININDE,EXTORSIÓN,CONSUMADO
2023,MANABI,MANTA,EXTORSIÓN,CONSUMADO
2023,LOS RIOS,SAN JACINTO DE BUENA FE,EXTORSIÓN,CONSUMADO
2023,SUCUMBIOS,SHUSHUFINDI,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,GUAYAS,SAMBORONDON,EXTORSIÓN,CONSUMADO
2023,LOS RIOS,MONTALVO,EXTORSIÓN,CONSUMADO
2023,SANTA ELENA,LA LIBERTAD,EXTORSIÓN,CONSUMADO
2023,SANTO DOMINGO DE LOS TSACHILAS,LA CONCORDIA,EXTORSIÓN,CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,SANTA ELENA,SANTA ELENA,SUSTRACCIÓN DE HIDROCARBUROS,CONSUMADO
2023,SANTO DOMINGO DE LOS TSACHILAS,LA CONCORDIA,EXTORSIÓN,CONSUMADO
2023,SANTO DOMINGO DE LOS TSACHILAS,SANTO DOMINGO,EXTORSIÓN,CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,MANABI,EL CARMEN,EXTORSIÓN,TENTATIVA
2023,LOS RIOS,QUEVEDO,EXTORSIÓN,CONSUMADO
2023,LOS RIOS,QUEVEDO,SECUESTRO EXTORSIVO,CONSUMADO
2023,GUAYAS,GUAYAQUIL,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,GUAYAS,GUAYAQUIL,EXTORSIÓN,CONSUMADO
2023,EL ORO,SANTA ROSA,"ALMACENAMIENTO, TRANSPORTE, ENVASADO, COMERCIALIZACIÓN O DISTRIBUCIÓN ILEGAL DE PRODUCTOS DERIVADOS DE HIDROCARBUROS, GAS LICUADO DE PETRÓLEO O BIOCOMBUSTIBLES",CONSUMADO
2023,ESMERALDAS,ESMERALDAS,EXTORSIÓN,CONSUMADO
